ID_Pedido,Data_Venda,ID_Produto,Quantidade,Faturamento_Bruto,Custo_Total,Regiao,Estado,Forma_Pagamento,Comissao_Percentual,ID_Sist_Antigo
PED-000000,2025-04-17,PROD-114,1,65.81,36.2,Sudeste,SP,Pix,0.02,47194
PED-000001,2025-12-26,PROD-135,3,456.18,355.82,Sul,PR,Pix,0.05,72955
PED-000002,2025-06-10,PROD-120,2,122.97,67.63,Norte,PA,Cartão de Débito,0.02,35658
PED-000003,2025-11-03,PROD-102,3,501.16,390.9,Sudeste,MG,Boleto,0.05,20627
PED-000004,2025-12-12,PROD-108,4,284.22,156.32,Norte,PA,Boleto,0.05,58555
PED-000005,2025-07-25,PROD-134,1,175.88,137.19,Sul,SC,Cartão de Débito,0.05,29457
PED-000006,2025-11-06,PROD-103,1,246.96,192.63,Sudeste,RJ,Pix,0.05,75697
PED-000007,2025-10-31,PROD-130,3,476.55,371.71,Sudeste,RJ,Boleto,0.05,11016
PED-000008,2025-08-25,PROD-115,2,124.76,68.62,Norte,AM,Cartão de Débito,0.05,73704
PED-000009,2025-01-15,PROD-128,1,34.47,18.96,Sudeste,SP,Boleto,0.02,72592
PED-000010,2025-03-22,PROD-110,3,232.23,127.73,Sudeste,MG,Boleto,0.02,13561
PED-000011,2025-05-15,PROD-127,1,67.4,37.07,Sudeste,SP,Pix,0.02,99135
PED-000012,2025-10-20,PROD-123,3,196.43,108.04,Sudeste,RJ,Pix,0.02,80592
PED-000013,2025-05-11,PROD-113,1,73.3,40.32,Sudeste,MG,Boleto,0.02,10206
PED-000014,2025-06-28,PROD-112,3,251.24,138.18,Sudeste,RJ,Cartão de Crédito,0.05,64268
PED-000015,2025-08-19,PROD-122,1,62.39,34.31,Sul,RS,Cartão de Crédito,0.05,65820
PED-000016,2025-10-11,PROD-121,2,134.92,74.21,Sudeste,MG,Pix,0.02,12693
PED-000017,2025-05-08,PROD-110,2,74.65,41.06,Sul,RS,Cartão de Crédito,0.02,33776
PED-000018,2025-08-21,PROD-112,3,91.25,50.19,Sudeste,MG,Cartão de Débito,0.02,13748
PED-000019,2025-11-11,PROD-123,2,86.25,47.44,Nordeste,PE,Cartão de Débito,0.02,64384
PED-000020,2025-10-22,PROD-111,2,145.47,80.01,Sudeste,RJ,Cartão de Crédito,0.02,36736
PED-000021,2025-08-12,PROD-122,1,68.06,37.43,Norte,PA,Pix,0.05,97092
PED-000022,2025-09-04,PROD-131,3,678.49,529.22,Sul,RS,Boleto,0.02,35342
PED-000023,2025-07-17,PROD-133,2,407.15,317.58,Centro-Oeste,MT,Cartão de Débito,0.05,35184
PED-000024,2025-12-15,PROD-105,3,627.27,489.27,Sudeste,MG,Boleto,0.05,82082
PED-000025,2025-05-28,PROD-118,3,121.39,66.76,Nordeste,CE,Cartão de Crédito,0.05,81295
PED-000026,2025-05-31,PROD-110,3,247.92,136.36,Sul,PR,Boleto,0.02,56843
PED-000027,2025-10-31,PROD-101,2,479.44,373.96,Sudeste,SP,Cartão de Crédito,0.05,71434
PED-000028,2025-05-27,PROD-134,3,706.9,551.38,Sudeste,SP,Pix,0.05,69040
PED-000029,2025-04-14,PROD-107,2,61.1,33.61,Sul,SC,Pix,0.02,92018
PED-000030,2025-07-13,PROD-117,2,113.81,62.6,Norte,PA,Cartão de Crédito,0.02,48467
PED-000031,2025-05-15,PROD-119,3,208.37,114.6,Sudeste,SP,Cartão de Crédito,0.05,80091
PED-000032,2025-08-26,PROD-121,2,176.76,97.22,Sul,RS,Cartão de Crédito,0.02,86213
PED-000033,2025-10-04,PROD-133,2,429.02,334.64,Norte,AM,Boleto,0.05,15600
PED-000034,2025-01-04,PROD-118,3,228.34,125.59,Sudeste,SP,Cartão de Débito,0.02,66491
PED-000035,2025-04-09,PROD-105,1,245.31,191.34,Norte,AM,Cartão de Crédito,0.02,10301
PED-000036,2025-04-26,PROD-132,3,541.71,422.53,Norte,AM,Cartão de Débito,0.02,60336
PED-000037,2025-08-11,PROD-124,2,143.52,78.94,Sudeste,RJ,Cartão de Débito,0.05,46631
