ID_Pesquisa,Data_Resposta,Nota_NPS,Estado,Motivo_Principal,ID_Sistema_Feedback,Classificacao_NPS
SRV-000000,2025-10-13,6,MG,Preço,48250,Detrator
SRV-000001,2025-09-07,3,SP,Tempo de Entrega,26076,Detrator
SRV-000002,2025-11-18,10,PE,Preço,25376,Promotor
SRV-000003,2025-11-13,7,SC,Variedade,65839,Neutro
SRV-000004,2025-03-19,4,RJ,Atendimento,74723,Detrator
SRV-000005,2025-10-24,6,BA,Atendimento,53442,Detrator
SRV-000006,2025-12-04,9,MS,Preço,15392,Promotor
SRV-000007,2025-11-03,2,PE,Variedade,37106,Detrator
SRV-000008,2025-12-17,6,PE,Atendimento,89845,Detrator
SRV-000009,2025-01-13,10,RJ,Variedade,34809,Promotor
SRV-000010,2025-12-12,10,RJ,Atendimento,10693,Promotor
SRV-000011,2025-03-23,7,GO,Variedade,69821,Neutro
SRV-000012,2025-01-09,4,RS,Qualidade do Produto,84159,Detrator
SRV-000013,2025-08-01,3,MT,Variedade,84710,Detrator
SRV-000014,2025-02-17,7,ES,Variedade,21352,Neutro
SRV-000015,2025-02-18,7,GO,Preço,62196,Neutro
SRV-000016,2025-11-05,2,SP,Qualidade do Produto,81066,Detrator
SRV-000017,2025-02-09,5,BA,Tempo de Entrega,14992,Detrator
SRV-000018,2025-12-29,4,RJ,Preço,63076,Detrator
SRV-000019,2025-10-07,1,AM,Tempo de Entrega,33354,Detrator
SRV-000020,2025-08-14,7,MG,Atendimento,13312,Neutro
SRV-000021,2025-04-18,5,PR,Tempo de Entrega,55833,Detrator
SRV-000022,2025-09-02,1,AM,Variedade,14318,Detrator
SRV-000023,2025-09-12,4,MG,Tempo de Entrega,76003,Detrator
SRV-000024,2025-02-02,0,RS,Preço,37192,Detrator
SRV-000025,2025-01-23,9,RS,Preço,99199,Promotor
SRV-000026,2025-11-29,5,AM,Tempo de Entrega,47489,Detrator
SRV-000027,2025-02-23,8,RJ,Preço,50309,Neutro
SRV-000028,2025-11-05,0,GO,Preço,38273,Detrator
SRV-000029,2025-02-18,10,GO,Tempo de Entrega,57553,Promotor
SRV-000030,2025-03-19,10,RS,Qualidade do Produto,39473,Promotor
SRV-000031,2025-12-02,9,MT,Qualidade do Produto,71410,Promotor
SRV-000032,2025-12-24,2,SC,Atendimento,23679,Detrator
SRV-000033,2025-05-02,6,CE,Preço,55310,Detrator
SRV-000034,2025-12-25,3,PE,Tempo de Entrega,93406,Detrator
SRV-000035,2025-03-31,8,GO,Preço,70683,Neutro
SRV-000036,2025-12-12,2,PE,Variedade,35992,Detrator
SRV-000037,2025-07-12,4,RJ,Preço,39433,Detrator
SRV-000038,2025-09-01,2,RS,Preço,86574,Detrator
SRV-000039,2025-05-29,6,PR,Qualidade do Produto,35933,Detrator
SRV-000040,2025-05-26,4,GO,Tempo de Entrega,55020,Detrator
